site,Easting,Northing
Above Cultivation_max,530739,5920957
Allies _max,531045,5919772
Bakers Spur_max,529423,5922486
Basalt NE_max,528302,5917199
Basalt S_max,527836,5917122
Cope Hut_max,526082,5915594
Fitzys Hut_max,532381,5918894
Fitzys Track_max,531331,5919890
Heathy Spur 1_max,527324,5919762
Heathy Spur 3_max,529953,5920383
Hollands Knob_max,530607,5920572
Marm Point_max,530974,5919235
Mt Cope Rd_max,526243,5913694
Youngs Top 2_max,520247,5911692
Youngs Top 3_max,520639,5911655
Above Cultivation_min,530806,5921030
Allies _min,531089,5919812
Bakers Spur_min,529369,5922455
Basalt NE_min,528305,5917226
Basalt S_min,527815,5917123
Cope Hut_min,526124,5915613
Fitzys Hut_min,532432,5918907
Fitzys Track_min,531297,5919874
Heathy Spur 1_min,527262,5919757
Heathy Spur 3_min,530057,5920570
Hollands Knob_min,530613,5920594
Marm Point_min,531039,5919244
Mt Cope Rd_min,526216,5913627
Youngs Top 2_min,520212,5911692
Youngs Top 3_min,520689,5911633