Site,Date,Year,Quadrat no.,Northing,Easting,SHRUB,HERB,MONOCOT,FERN,BRYO,BAREGROUND,ROCK,VEG_HT,Acaena.novae-zelandiae,Acetosella.vulgaris,Acrothamnus.spp.,Agrostis.capillaris,Agrostis.venusta,Argyrotegium.fordianum,Argyrotegium.nitidulum,Asperula.gunnii,Asperula.pucilla,Asterolasia.trymalioides,Brachyscome.decipiens,Brachyscome.nivalis,Brachyscome.scapigera,Carex.breviculmis,Carex.hebes,Celmisia.spp.,Cerastium.spp.,Colobanthus.affinis,Coronidium.monticola,Craspedia.spp.,Deyeuxia.monticola,Epilobium.billardierianum,Euphrasia.collina,Ewartia.nubigena,Exocarpus.nanus,Gentianella.muelleriana,Geranium.spp.,Grevillea.australis,Gonocarpus.montanus,Goodenia.hederacea,Goodenia.montanus,Hypochaeris.radicata,Isolepis.spp.,Leptinella.filicila,Luzula.acutifolia,Luzula.modesta,Luzula.novae-cambriae,Lycopodium.fastigiatum,Melicytus.angustifolius,Microseris.lanceolata,Olearia.brevipedunculata,Olearia.frostii,Olearia.phlogopappa,Oreomyrrhis.eriopoda,Orites.lancifolius,Pappachroma.bellidoidies,Pappochroma.nitidum,Phebalium.squamulosum,Pimelea.alpina,Pimelea.axiflora,Plantago.euryphylla,Poa.costiniana,Poa.fawcettiae,Poa.helmsii,Poa.hiemata,Poa.hothamensis,Poa.phillipsiana,Podocarpus.lawrencii,Polystichum.proliferum,Prasophyllum.sp.,Ranunculus.eichlaranus,Ranunculus.victoriensis,Rytidosperma.nudiflorum,Scleranthus.biflorus,Scleranthus.singuliflorus,Senecio.pinnatifolius,Stackhousia.pulvinarus,Stellaria.pungens,Stylidium.graminifolium,Trachymene.humulis,Trifolium.repens,Trisetum.spicatum,Viola.betonicifolia,Wahlenbergia.gloriosa
Cope Hut,19/01/2022,2022,1,526124,5915613,20,30,20,0,0,10,20,7.7,0,0.5,2,0,0.5,0,0.01,0,0.01,0,0,0,0,0.5,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0.01,0
Cope Hut,19/01/2022,2022,2,526126,5915598,20,30,15,0,0,5,20,7.6,0,2,2,0,1,0,0.01,1,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,1,1,0,1,2,0,0.01,0,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,1,0,0,0.01,0
Cope Hut,19/01/2022,2022,3,526112,5915578,20,35,35,0,0,5,20,10,0,1,2,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,1,0,0.01,0,0,0,0,0,0,0.5,1,0,0,3,0,0,0,0,0.01,0,0,2,1,0,0,0,0,0,2,0,1,1,0
Cope Hut,19/01/2022,2022,4,526082,5915594,5,50,30,0,0,5,10,3,0,1,0,0,1,1,0.5,0,1,0,0.5,0,0,0,1,1,0,0,0,0.01,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,1,0,0,0,1,1,0,0,0.01,0,0,0,0.5,0.5,1,0,0,2,0,0,0,0.01,1,0,0,1,0,0,0,0.5,0,0,3,0,0,0,0
Mt Cope Rd,19/01/2022,2022,1,526213,5913600,15,40,40,0,0,5,0,13.9,0.5,0.5,1,0,0.5,0.01,0.01,0,2,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,2,2,2,0,2,0,0,0,0,0,0,1,0.5,1,0,0,1,0,0,2,0,1,0.5,0
Mt Cope Rd,19/01/2022,2022,2,526216,5913627,10,35,50,0,0,5,0,11.8,0,1,0.5,0,1,0.5,0.01,0,2,0,0,0,0,0,1,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0.5,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,0,2,0,0
Mt Cope Rd,19/01/2022,2022,3,526241,5913652,30,20,50,0,0,5,0,14.2,0,1,1,0,0,0,0,0,2,0.5,0,0,0,1,1,0.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2,0,2,0,0
Mt Cope Rd,19/01/2022,2022,4,526243,5913694,5,10,80,0,0,5,0,12.8,0,0.5,1,0,0.5,0,0.5,0,1,0.5,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0.5,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0
Youngs Top 2,14/02/2022,2022,1,520173,5911679,1,49,49,0,0,0,1,21.2,0,1,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0.5,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0,0.5,0,0,0,0,0,0,1,0.5,0,0.5,0,0,0,0,0.5,1,1,0,2,2,0,0,0,0,0,0.01,0.5,1,0,0,0,0,0,0,1,0,0.01,0
Youngs Top 2,14/02/2022,2022,2,520212,5911692,0,30,60,0,0,1,2,13.3,1,1,0,0,0.5,0,0.01,0,0,0,0,0,0,0,1,0,0.01,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0.01,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,2,0,0,0,0,0,0,0.01,0,0,0.5,0,1,0,0,0,0,0,0,1,0.01,0.01,0
Youngs Top 2,14/02/2022,2022,3,520247,5911692,5,35,50,0,0,2,7,12.9,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0.5,0,0.01,0,0,0,0,1,1,0,0,0.5,0.5,0,1,1,0.01,0,1,2,1,0,0,0.5,0,0,1,1,0,1,0
Youngs Top 2,14/02/2022,2022,4,520296,5911705,0,20,75,1,0,3,2,18,1,1,0,0,0.01,0,0.01,0,0,0,0,0,0,0,1,0,0.01,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,4,0,0,0,1,0.5,0,1,0,0,0,0.5,0,0.01,0.01,0,0,0,0,1,0.5,0.01,0
Youngs Top 3,14/02/2022,2022,1,520639,5911655,1,23,50,1,0,5,20,10.6,0,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0.5,0,0,0.01,0,0,0,0.01,0,0.5,0,0,0,0.5,1,0.01,3,0,1,0,0,0,0.5,0,0,0.5,2,0,0,0,0,0,0,0,1,0.5,1,0.01
Youngs Top 3,14/02/2022,2022,2,520656,5911644,1,18,80,0,0,1,0,12.2,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.01,0.5,0,0.5,0,0,0.01,0,0,0,0.5,0,0,0,0,0,0,0,2,3,0,0.01,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0.5,2,0.5,1,0
Youngs Top 3,14/02/2022,2022,3,520689,5911633,0,20,75,0,0,1,4,18.7,0.01,0.5,0,0,0,0.01,0.5,0,0.5,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0.5,2,0,0,2,0,0,0,0,0,0.5,0.5,0.5,1,0,0,0.5,0,0,0,1,0.5,1,0.5
Youngs Top 3,14/02/2022,2022,4,520705,5911653,0,15,70,0,0,1,15,12.8,0,0.5,0,2,0.5,0.01,0.01,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.01,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,1,0,2,1,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,2,1,0,0
Bakers Spur,16/02/2022,2022,1,529369,5922455,30,50,18,0,0,1,1,9,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0.5,2,0,0,0,0,0.5,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.01,0,0,0,1,0,0,0,0,0,0,0,0,0.5,1,0,0,2,1,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0.5,0
Bakers Spur,16/02/2022,2022,2,529408,5922435,50,10,30,0,0,10,0,14.2,0,0.5,2,0,0,0.01,0,0,0,1,0,0,0,0.01,0.01,1,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,1,0.01,0,0.5,0.01,0,0,0.5,0,0.01,1,0.01,0,0,0,0,0,0,0,0,2,1,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0
Bakers Spur,16/02/2022,2022,3,529423,5922486,60,17,20,0,0,1,2,13,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0.01,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0.01,0,0,0,0.5,0,0,0,0,0,2,0,0.5,0,0,0.5,0,0.5,1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
Basalt NE,17/02/2022,2022,1,528305,5917226,0,24,70,0,0,1,5,13.6,0,1,0,3,0.5,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0.5,1,0,0,0,0,0,0,0.5,0,0,0.5,0
Basalt NE,17/02/2022,2022,2,528302,5917199,5,40,40,0,0,5,10,8.4,0,1,1,2,0,0,0,0.5,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0,0,1,2,0,0,0,0,0,1,1,0.5,0,0,0,0,0,2,0,0,0,0
Basalt NE,17/02/2022,2022,3,528253,5917171,1,25,20,0,0,4,50,5.7,0,0.5,0,1,0,0.5,0,0,0,0,0,0.5,0,0.5,1,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,2,0,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0
Basalt S,17/02/2022,2022,1,527815,5917123,20,20,25,5,5,0,25,15.8,0.5,0.5,0.5,3,0,0.5,0,0.01,0,0,0.5,1,0,0.5,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0.5,2,0,0,0,0,0.5,0.5,0,1,0,0,1,0,0,1,0,0,0,0.5,1,0,0,0,0,0,0,0.5,0,0.5,0
Basalt S,17/02/2022,2022,2,527836,5917122,5,20,25,5,5,0,40,12,0,0.5,1,2,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,1,0,0,0,0,0,0,0,3,0,0.5,2,0,0,2,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0,0,0,2,1,0,0,0,0.5,0,1,1,1,0,0,0,0,0,1,0.5,0.5,0.5,0
Above Cultivation,16/02/2022,2022,1,530739,5920957,45,25,25,0,0,2,3,15.4,0,0.5,1,0,0.5,0.5,0,0.5,0,1,0.5,0.5,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0.5,0,1,0,0,1,0,0,2,0.01,0,0,0.01,0,0.5,0.5,0.5,0,0,0,0,0,2,0,0,0.5,0
Above Cultivation,16/02/2022,2022,2,530796,5920993,30,50,14,0,0,5,1,9.2,1,0.5,1,0,0.01,0.5,0,0.5,0,0,0,0,0,0.5,0.5,3,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,1,0.01,0,0.5,0,1,0.01,0,0.5,0,0,0,0,1,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0.01,0,0,0.5,0.5,0
Above Cultivation,16/02/2022,2022,3,530806,5921030,0,50,20,0,0,15,15,9.4,0,0.5,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0,0.5,0,0.01,0,0,0,0,0,0,0.5,0,2,0,0,1,0.5,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0
Above Cultivation,16/02/2022,2022,4,530843,5921056,25,49,15,0,0,10,1,11.3,0,0.5,1,0,0.01,0,0,0.5,0,0,0.5,0.5,0,0.5,0.01,1,0,0.01,0,0,0,0,0,0,0.5,0,0,2,0,0,0,1,0,0.5,0.5,0,0,0,0.01,0,1,0.5,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,1,1,0,0,0,0,1,0.5,0.5,0,0,0,0.5,0,1,0,0,0.5,0
Allies ,16/02/2022,2022,1,531089,5919812,15,45,30,0,0,5,5,13.9,0.01,0.5,1,0,0,1,0.5,0.5,0,0,0.01,0,0,0,0,3,0,0,0,0.01,0.5,0,0.01,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0.01,0,0,0,2,0,0,0.5,0,3,0,0.5,0.5,0,0,0,0.01,0,0.5,0.5,1,1,0,0,0,0,0,0,0,0.5,0
Allies ,16/02/2022,2022,2,531039,5919807,30,30,35,0,0,2,3,18.2,0,1,1,0,0,0.5,0,1,0,0,0,0,0,0.01,0,0.01,0,0,0,0,1,0,0,0.5,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.5,0,0,0.01,2,0,0,0,0.01,0,0,0,0,0,1,0.5,0.5,0,0,0,0,0.5,0,0.01,0.5,0
Allies ,16/02/2022,2022,3,531045,5919772,7,40,40,0,0,3,0,11.3,0,0.5,1,0,0.5,0.5,0,0.5,0,0,0,0,0,0.5,0.5,3,0,0,0,0.01,0,0,1,0,0,0,0,0,0,0,0,0.5,0,0,1,0,0,0,0,0,0,0,0,0.01,0,1,0,0,0,0,0.5,0,2,0,2,1,1,0,0,0,0,0.5,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0
Fitzys Hut,16/02/2022,2022,1,532432,5918907,20,20,20,0,0,30,20,2,0,0.5,3,0.5,0.5,0.5,0,0,0,0,0.5,0,0,0.5,0.01,2,0,0,0,0.01,0.5,0,0.01,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.01,0,0.01,0,1,0,0.5,0.5,0,0,0,2,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0,0
Fitzys Hut,16/02/2022,2022,2,532398,5918919,25,50,20,0,0,5,0,23.8,0,0.5,1,0,0.5,0,0,0,0,0,0,0,0,0.5,0.5,3,0,0,0,0.5,0.01,0,0.5,0,1,0,0,2,0.5,0,0,0.5,0,0,1,0,0,0,0,0,0.5,0,0,0,0,0.01,0,0,0,0.5,0.5,0,0,0,2,1,2,0,0,0.01,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0
Fitzys Hut,16/02/2022,2022,3,532381,5918894,30,25,35,0,0,10,0,8.6,0,0.5,3,0.5,0.5,0.5,0,0,0.5,0,0.5,0,0,0,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0.01,0,0.5,0,1,0,0,0.5,0,0,0,2,0.5,1,0,0,0,0,0.5,1,0.5,0,0,1,0,1,1,0,0,0,0
Fitzys Track,16/02/2022,2022,1,531297,5919874,10,35,45,0,0,5,5,13.2,0,0.5,2,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0.5,1,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0,0.5,0,2,0,0,2,2,0,0,0,0,0.5,0.5,0.01,0,0,0,0,0,0.5,0,0,0.5,0
Fitzys Track,16/02/2022,2022,2,531331,5919890,15,30,40,0,0,15,0,10.8,0.01,0.5,0,0,2,0,0.5,0,0,0,0,0,0,0.5,0.01,1,0,0.5,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0.5,0.5,0,0.01,0.5,0,0,0,1,0,0.5,0,0,0,0,0,0.01,0,0,1,0,0,0,1,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0,1,0,0,0.5,0
Hollands Knob,16/02/2022,2022,1,530613,5920594,15,10,70,0,0,3,1,10.2,0,0.5,0.5,2,0,1,0.01,1,0,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0.5,1,0,0,0,0,0,0.5,0,0,0,1,0,0,1,0,0,0.5,0
Hollands Knob,16/02/2022,2022,2,530607,5920572,3,70,20,0,0,7,0,8,0,0.5,1,0,0.5,2,0,0.01,0,0,0.5,0,0,0,0.01,1,0,0,0,0.5,0,0,0,0.5,0.5,0,0,0,0,1,0,0.01,0,0.01,1,0.01,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0,0.5,0,0.5,0,2,0,0,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,2,0,0,0,0
KM230,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,0.5,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0,1,0,2,0,0.5,0,4,0,0,3,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,1,0
KM232,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,1,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,2,0,0,0,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0
KM14,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,0.5,1,0.5,0,0,0,0,0.5,0,0,0,0,0,0,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.5,2,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,0,0.5,1,0
KM11,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,1,1,0,0,0,0.5,0,0,0,0,0,0,0,0.01,2,2,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.01,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0.5,0,0,0,0,3,0,0,0,0,0,0.5,3,0.5,0,0,0,0,0,0,0,1,1,0
KM60,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,0.5,2,0,0,1,0.5,0,0.5,0,0.01,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,2,0,0,0,0,0,0,1,0,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.5,1,0
KM193,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,0.5,1,0,0,2,0,0,2,0,0,0,0,0,0,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,2,0,1,0,0.5,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,1,0
KM412,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,0.5,1,0,0,0.5,0.5,0,0,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.5,0,0,0.5,0,0,0,0.5,0,0,0,0,0,2,0.01,0,4,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0.5,0
KM309,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,1,3,0,0,0.5,0.5,0,2,0.5,0,0,0,0,0.5,2,0.5,0,0.5,0,0.5,0,0.5,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0.01,0,0.5,0,0,0,0,0,0.5,0.5,0,0.5,0,0.5,1,0,0,0,0,0,0.5,1,0.5,0,0,0,0,0,0,0.5,0.5,2,0
KM50,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,3,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,1,0.5,1,0,0,0,1,0.5,0,0,0,0,0,0.5,3,0.5,0,0,0,0,0,0,0,0,2,0
KM282,1/01/1982,1982,1,na,na,na,na,na,na,na,na,na,na,0.5,0.5,0,0,1,2,0,0.5,0,0,0,0,0,0.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0.01,0,0.5,0,1,0,0,0,0,0,0,1,0,0.5,0,1,2,0,0,0,0,0,0.01,1,1,0,0,0,0,0,0,0,0,1,0
Heathy Spur 3,12/03/2022,2022,1,530057,592057,35,40,10,0,0,5,0,17.4,0,0.5,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,3,0,1,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0.5,0.5,0
Heathy Spur 3,12/03/2022,2022,2,529953,5920383,55,38,5,0,0,1,1,22.2,0.5,0.5,1,0,0,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0.5,3,0,0,0,0.5,0,0,0,0,0,0,0,4,0.5,0.5,0,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,1,0.5,1,0.5,0,0,0,1,1,0,0,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0.5,0,0,0.5,0.5,0
Heathy Spur 3,12/03/2022,2022,3,529949,5920316,50,35,10,0,0,5,0,27.6,1,0.5,1,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,2,0,0.5,0,0.5,0.5,0,0,0,0,0,0,3,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,2,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,1,0,0,0,0.5,0.5,0,0,0.5,0.5,0
Marm Point,11/03/2022,2022,1,530974,5919235,40,20,30,0,0,5,5,8.8,0,0.5,2,0,0,0,0,0.5,0,0,0,0,0,0.5,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0.5,1,0,0.5,0,0,0,0,0,0,0.5,0,0,0,3,1,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0
Marm Point,11/03/2022,2022,2,530993,5919253,30,40,20,0,0,5,5,10.8,0,0.5,2,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,4,0,0,0,0.5,0,0,0,0,0.5,0,0,3,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,1,0,0,0,0,0,1,0.5,0,0.5,0,0,0,2,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0.5,0
Marm Point,11/03/2022,2022,3,531039,5919244,20,55,24,0,0,1,0,10,1,0.5,1,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,4,0,0.5,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,1,0,1,0.5,1,0,0,0.5,0,1,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0
Marm Point,11/03/2022,2022,4,531023,5919293,30,40,20,0,0,5,5,17.6,0,0.5,2,0,0,0,0,0.5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,2,0.5,1,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0
Heathy Spur 1,9/03/2022,2022,1,527324,5919762,30,45,20,0,0,4,1,15.9,0.5,0.5,2,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0.5,3,0,0,0,0.5,0,0,0,0,1,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0.5,0.5,0,0,0,0.5,0,0,0,0,0,2,0,0.5,0.5,0,0,0,1,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0,0,1,1,0,0,0,0
Heathy Spur 1,9/03/2022,2022,2,527298,5919749,15,61,20,0,2,0,3,10.9,0,0.5,2,0,0.5,0,0,0,0,0,0.5,0,0,2,1,4,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0,0.5,0.5,0.5,0,0,0,0,0,0,2,0,0,0,0,2,2,0,0,0,0.5,0,0.5,2,1,0,0,0,0,1,1,0,0,0.5,0
Heathy Spur 1,9/03/2022,2022,3,527262,919757,10,80,10,0,0,0,0,11.7,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0.5,0,0.5,4,0,0,0.5,1,0,0,0,0,0,0,0,0.5,1,0,0,0.5,0,0.5,0.5,0,0,1,0.5,0.5,1,0,0,0,0,0,0,0.5,0,2,0,0,0,0,1,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0.5,0,0.5,0.5,0.5
